date,ADC,ADM,APH,APO,APP,ARES,AZO,BKNG,BRK-B,BTAL,BTE,BX,CASY,COST,CTA,CVX,CWST,CYA,DBMF,DECK,DOW,EGP,EXEL,FANG,FICO,FMF,FR,GILD,IVOL,KKR,KLAC,KMLM,LLY,LMT,MCK,MELI,META,MPC,MPWR,MSFT,NNN,O,ORLY,PFIX,PGR,PLD,PSA,REXR,RSBT,RSG,SCHD,SCHG,STAG,SVXY,TMUS,TRI,TRNO,TSLA,UNH,VOO,VRT,VRTX,WM,WMT,WPC,XLG,XME,XOM,GIC,sim_id
2008-01-21,21.0968,0.0,0.0,20395.6632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20396.8254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20397.2362,0.0,19.8358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20392.4992,0.0,20382.192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10020.1536,0.0,0.0,0.0,20363.075999999997,275296.4218,8828409087
2008-02-18,20162.208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20160.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20162.5112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20159.4192,0.0,0.0,0.0,0.0,0.0,12788.034,0.0,0.0,0.0,0.0,0.0,0.0,20158.872300000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20134.8678,0.0,269177.78659999993,8828409087
2008-03-17,0.0,0.0,0.0,20079.6147,0.0,0.0,0.0,0.0,0.0,0.0,20080.4864,0.0,0.0,0.0,0.0,15017.2374,0.0,0.0,0.0,20084.8314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20011.4398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9245.3405,0.0,0.0,0.0,20082.5031,276698.63159999996,8828409087
2008-04-14,0.0,0.0,0.0,0.0,0.0,20487.72,0.0,0.0,0.0,0.0,20485.4784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20492.540999999997,0.0,0.0,0.0,26.1816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20492.370199999998,6073.798400000001,0.0,0.0,717.5827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.56,20486.899999999998,0.0,20491.744,0.0,0.0,20441.4966,0.0,259277.34779999993,8828409087
2008-05-12,0.0,0.0,21144.778899999998,21147.1563,0.0,0.0,0.0,21139.3425,0.0,0.0,21140.6178,0.0,0.0,21099.0962,0.0,0.0,0.0,0.0,0.0,21142.0767,0.0,21142.4886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2936.9632,21135.7728,0.0,0.0,0.0,0.0,0.0,21091.534799999998,0.0,0.0,0.0,0.0,21132.3492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21143.6616,21147.5946,21142.5082,0.0,0.0,144728.27239999993,8828409087
2008-06-09,0.0,0.0,21278.896800000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21272.8662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,667.6308,0.0,0.0,0.0,21269.304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.6905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21248.415999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21230.2396,17101.491,301047.45879999996,8828409087
2008-07-07,0.0,0.0,0.0,20831.107799999998,0.0,0.0,0.0,0.0,0.0,0.0,3856.3053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20833.1562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20835.280899999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20834.1,8835.2706,20813.498,0.0,0.0,0.0,0.0,299515.256,8828409087
2008-08-04,20644.6014,0.0,20641.0356,20641.4787,0.0,0.0,0.0,0.0,0.0,0.0,20638.6194,0.0,20630.91,0.0,0.0,0.0,20638.8,0.0,0.0,0.0,0.0,0.0,20643.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15845.6781,0.0,0.0,20642.28,0.0,0.0,20642.3022,0.0,0.0,20638.527000000002,0.0,16162.4772,0.0,0.0,20644.1796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4971.7,20636.1092,0.0,0.0,0.0,0.0,0.0,127732.32009999992,8828409087
2008-09-01,0.0,0.0,20618.3042,20613.3855,0.0,0.0,0.0,0.0,0.0,0.0,20608.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20615.750399999997,0.0,0.0,0.0,39.2724,20603.218999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11733.292500000001,20575.1949,0.0,0.0,0.0,0.0,20616.805,0.0,0.0,0.0,0.0,0.0,0.0,14835.9068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240948.44729999997,8828409087
2008-09-29,0.0,0.0,0.0,19918.0788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19900.7729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19910.6376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19921.4768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11425.7512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19899.0,0.0,19914.2906,0.0,0.0,0.0,0.0,267067.67419999995,8828409087
2008-10-27,0.0,0.0,0.0,18267.6033,0.0,18333.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18296.655000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18328.3128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2718.8399999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,290464.38989999995,8828409087
