boom,crash,myindex
0.295191700868914,0.023250769175068742,0
0.2900029092087717,0.024225290917970765,1
0.28601502979390014,0.04431244740210971,2
0.2674675736019356,0.046124567232541214,3
0.2578545586425742,0.04720205016211754,4
0.25236010041430257,0.05369424181608462,5
0.21685426805753028,0.0678116960670947,6
0.2042345574655422,0.06967256064106153,7
0.1839563256192862,0.1171215448872065,8
0.17858293489816157,0.12541724904037554,9
0.1736935987491961,0.1349249176492897,10
0.1735386349781125,0.14393001053494792,11
0.15408894916680094,0.14877979109577844,12
